Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12730,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""Team"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(team, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12726,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""State"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(state, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12726,24,T:System.Uri,,,,,"urlBuilder_.Append(System.Uri.EscapeDataString(""State"")).Append('=').Append(System.Uri.EscapeDataString(ConvertToString(state, System.Globalization.CultureInfo.InvariantCulture))).Append('&');"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12674,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12674,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12669,28,T:System.Net.Http.HttpContent,,,,,string responseText_ = ( response_.Content == null ) ? string.Empty : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12669,28,T:System.Net.Http.HttpContent,,,,,string responseText_ = ( response_.Content == null ) ? string.Empty : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12650,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12648,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Api\Dfe.Complete.Api.Client\Dfe.Complete.Api.Client.csproj,File,src\Api\Dfe.Complete.Api.Client\Generated\Client.g.cs,12648,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
